11, 2, 0.363636, 36.005, 3.27318, 0.227091
55, 2, 0.0727273, 122.594, 2.22898, 0.399691
101, 2, 0.039604, 683.297, 6.76531, 0.370934
505, 2, 0.00792079, 18384.8, 36.4056, 0.366021
1001, 2, 0.003996, 65175.8, 65.1107, 0.372797
11, 4, 1.45455, 40.7949, 3.70863, 0.252994
55, 4, 0.290909, 1178.79, 21.4326, 0.226796
101, 4, 0.158416, 4912.11, 48.6347, 0.188176
505, 4, 0.0316832, 112814, 223.394, 0.206941
1001, 4, 0.015984, 443623, 443.18, 0.209797
11, 8, 23.2727, 64.8097, 5.89179, 0.169142
55, 8, 4.65455, 1054.47, 19.1723, 0.258489
101, 8, 2.53465, 3383.4, 33.4991, 0.267216
505, 8, 0.506931, 109610, 217.049, 0.214325
1001, 8, 0.255744, 429514, 429.085, 0.21411
11, 16, 5957.82, 52.757, 4.79609, 0.201389
55, 16, 1191.56, 1346.11, 24.4748, 0.192997
101, 16, 648.871, 4521.18, 44.7642, 0.192684
505, 16, 129.774, 97396, 192.863, 0.233554
1001, 16, 65.4705, 374376, 374.002, 0.229299
11, 32, 3.90452e+008, 46.8049, 4.25499, 0.226803
55, 32, 7.80903e+007, 1134.27, 20.6231, 0.232686
101, 32, 4.25244e+007, 3479.12, 34.4468, 0.246562
505, 32, 8.50489e+006, 92223.3, 182.62, 0.244023
1001, 32, 4.29068e+006, 373194, 372.821, 0.239527
