1047.53, 1001, 0.45, 1.02801, 20, 0.487398, 0.233766
1043.19, 1001, 0.47, 1.02564, 19.994, 0.48733, 0.223776
1041.02, 1001, 0.49, 1.05154, 19.991, 0.487169, 0.22977
53.0058, 1001, 0.51, 0.988043, 15.6953, 0.487206, 0.237762
20.9506, 1001, 0.53, 1.17078, 14.3561, 0.48608, 0.27972
19.2068, 1001, 0.55, 1.17413, 14.2308, 0.48611, 0.277722
12.3649, 1001, 0.57, 1.18329, 13.5954, 0.486072, 0.27972
7.40971, 1001, 0.59, 1.1894, 12.8566, 0.486205, 0.265734
1.47197, 1001, 0.61, 1.37084, 10.525, 0.485776, 0.297702
0.400154, 1001, 0.63, 1.31428, 8.64585, 0.486047, 0.301698
0.236169, 1001, 0.65, 1.06386, 7.88511, 0.48753, 0.27972
0.0333819, 1001, 0.67, 2.58185, 5.06244, 0.482384, 0.417582
0.0276224, 1001, 0.69, 2.7684, 4.78921, 0.481885, 0.435564
0.0203818, 1001, 0.71, 1.98964, 4.35065, 0.485755, 0.40959
0.017006, 1001, 0.73, 2.77986, 4.08941, 0.483068, 0.445554
0.0103832, 1001, 0.75, 2.37405, 3.37762, 0.484905, 0.35964
0.00986797, 1001, 0.77, 2.29978, 3.3042, 0.485071, 0.34965
0.00936208, 1001, 0.79, 2.459, 3.22827, 0.485009, 0.377622
0.0084297, 1001, 0.81, 2.55146, 3.07692, 0.484835, 0.38961
0.00826211, 1001, 0.83, 2.48363, 3.04795, 0.484842, 0.383616
0.00740843, 1001, 0.85, 2.38655, 2.89061, 0.48586, 0.403596
0.00716624, 1001, 0.87, 2.29545, 2.84266, 0.485861, 0.387612
0.00698254, 1001, 0.89, 2.24895, 2.80519, 0.485898, 0.403596
0.00686271, 1001, 0.91, 2.12495, 2.78022, 0.486283, 0.395604
