7, -11, 1
8, -9, 1
9, 15, -1
10, -9, 1
11, 21, -1
12, 9, -1
13, 17, -1
14, 39, -1
15, -5, 1
16, 1, -1
17, 9, -1
18, 23, -1
19, 13, -1
20, -5, 1
21, -49, 1
22, 7, -1
23, -11, 1
24, 25, -1
25, -23, 1
26, -7, 1
27, 21, -1
28, -9, 1
29, 23, -1
30, 11, -1
31, 19, -1
32, -5, 1
33, 11, -1
34, -7, 1
35, -21, 1
36, 3, -1
37, -5, 1
38, -11, 1
39, 13, -1
40, -9, 1
41, 45, -1
42, -27, 1
43, 37, -1
44, -33, 1
45, 37, -1
46, 25, -1
47, -35, 1
48, 11, -1
49, -1, 1
50, 1, -1
51, 21, -1
52, -11, 1
53, -21, 1
54, -15, 1
55, -1, 1
56, -9, 1
57, 15, -1
58, 9, -1
59, 49, -1
60, 17, -1
61, -57, 1
62, 7, -1
63, 11, -1
64, -29, 1
65, 25, -1
66, 3, -1
67, 17, -1
68, 7, -1
69, 37, -1
70, -13, 1
71, 1, -1
72, -9, 1
73, 7, -1
74, -35, 1
75, -5, 1
76, -27, 1
77, -11, 1
78, 21, -1
79, 7, -1
80, 17, -1
81, -9, 1
82, -1, 1
83, 13, -1
84, 49, -1
85, 31, -1
86, -3, 1
87, -1, 1
88, 1, -1
89, 21, -1
90, 7, -1
91, 19, -1
92, -15, 1
93, -17, 1
94, 15, -1
95, 19, -1
96, -19, 1
97, -29, 1
98, -27, 1
99, 3, -1
100, -13, 1
101, 25, -1
102, 7, -1
103, -21, 1
104, -21, 1
105, 9, -1
106, 25, -1
107, -5, 1
108, 1, -1
109, -5, 1
110, 13, -1
111, 13, -1
112, 9, -1
113, -23, 1
114, -3, 1
115, -1, 1
116, 49, -1
117, -13, 1
118, -7, 1
119, -11, 1
120, -19, 1
121, -9, 1
122, 13, -1
123, -5, 1
124, -5, 1
125, 43, -1
126, 47, -1
127, 23, -1
128, 19, -1
129, 7, -1
130, -41, 1
131, -45, 1
132, 15, -1
133, -29, 1
134, 5, -1
135, -35, 1
136, 23, -1
137, 1, -1
138, -37, 1
139, 25, -1
140, 47, -1
141, -19, 1
142, 3, -1
143, -11, 1
144, -5, 1
145, 21, -1
146, 35, -1
147, -41, 1
148, -23, 1
149, -9, 1
150, -11, 1
151, 17, -1
152, 29, -1
153, 7, -1
154, -5, 1
155, 21, -1
156, -3, 1
157, -19, 1
158, -11, 1
159, -17, 1
160, 1, -1
161, 7, -1
162, -9, 1
163, 51, -1
164, 19, -1
165, 41, -1
166, -21, 1
167, 1, -1
168, -5, 1
169, -3, 1
170, 21, -1
171, -3, 1
172, 15, -1
173, 3, -1
174, 21, -1
175, 29, -1
176, 13, -1
177, -5, 1
178, -9, 1
179, 9, -1
180, -3, 1
181, -13, 1
182, -9, 1
183, -1, 1
184, 11, -1
185, -31, 1
186, -21, 1
187, 27, -1
188, 9, -1
189, 21, -1
190, 3, -1
191, -13, 1
192, 29, -1
193, 27, -1
194, 13, -1
195, -9, 1
196, -1, 1
197, 5, -1
198, 15, -1
199, 7, -1
200, -29, 1
201, 11, -1
202, 15, -1
203, 21, -1
204, 17, -1
205, 3, -1
206, 7, -1
207, -37, 1
208, 37, -1
209, 9, -1
210, -3, 1
211, -5, 1
212, 5, -1
213, 3, -1
214, 13, -1
215, -3, 1
216, 3, -1
217, 1, -1
218, 5, -1
219, -11, 1
220, 9, -1
221, 31, -1
222, -19, 1
223, 19, -1
224, 29, -1
225, -1, 1
226, -9, 1
227, -11, 1
228, 7, -1
229, 7, -1
230, 15, -1
231, -19, 1
232, -19, 1
233, 1, -1
234, 3, -1
235, 19, -1
236, 21, -1
237, -5, 1
238, -9, 1
239, 11, -1
240, -1, 1
241, 13, -1
242, -17, 1
243, 3, -1
244, -5, 1
245, 13, -1
246, 27, -1
247, 13, -1
248, -7, 1
249, 21, -1
250, 3, -1
251, -7, 1
252, 3, -1
253, 3, -1
254, 21, -1
255, 1, -1
256, -9, 1
257, -21, 1
258, 5, -1
259, 1, -1
260, 9, -1
261, 5, -1
262, 21, -1
263, -29, 1
264, -31, 1
265, 7, -1
266, -7, 1
267, -19, 1
268, -5, 1
269, 15, -1
270, -15, 1
271, 27, -1
272, 11, -1
273, -27, 1
274, -11, 1
275, -9, 1
276, -13, 1
277, 7, -1
278, 9, -1
279, 25, -1
280, 21, -1
281, -9, 1
282, 13, -1
283, 17, -1
284, 15, -1
285, 13, -1
286, 1, -1
287, -17, 1
288, -15, 1
289, -7, 1
290, -21, 1
291, 15, -1
292, -5, 1
293, 11, -1
294, 3, -1
295, -13, 1
296, -5, 1
297, 13, -1
298, -11, 1
299, 27, -1
300, 1, -1
301, -3, 1
302, 13, -1
303, 3, -1
304, 7, -1
305, -19, 1
306, -5, 1
307, -5, 1
308, 37, -1
309, -9, 1
310, 11, -1
311, 11, -1
312, -7, 1
313, -9, 1
314, -5, 1
315, -5, 1
316, -9, 1
317, 15, -1
318, 7, -1
319, 21, -1
320, 3, -1
321, -7, 1
322, 1, -1
323, 1, -1
324, 5, -1
325, -9, 1
326, 3, -1
327, -9, 1
328, 11, -1
329, -3, 1
330, -11, 1
331, -5, 1
332, -11, 1
333, -13, 1
334, -13, 1
335, -1, 1
336, -1, 1
337, 21, -1
338, 33, -1
339, 11, -1
340, -9, 1
341, -17, 1
342, -9, 1
343, 5, -1
344, -1, 1
345, 3, -1
346, -7, 1
347, -17, 1
348, 21, -1
349, -19, 1
350, 7, -1
351, 11, -1
352, 31, -1
353, 3, -1
354, 13, -1
355, -11, 1
356, -7, 1
357, 5, -1
358, -1, 1
359, 5, -1
360, -27, 1
361, 1, -1
362, -5, 1
363, -1, 1
364, -15, 1
365, -11, 1
366, 7, -1
367, 3, -1
368, 17, -1
369, 9, -1
370, -1, 1
371, -3, 1
372, -9, 1
373, -15, 1
374, 1, -1
375, 13, -1
376, -3, 1
377, 45, -1
378, 7, -1
379, 15, -1
380, -7, 1
381, -21, 1
382, 1, -1
383, 1, -1
384, 3, -1
385, -25, 1
386, 5, -1
387, 11, -1
388, 33, -1
389, -15, 1
390, -13, 1
391, -17, 1
392, -5, 1
393, -3, 1
394, -1, 1
395, 3, -1
396, 35, -1
397, 13, -1
398, -5, 1
399, 9, -1
400, 1, -1
401, 17, -1
402, 1, -1
403, -1, 1
404, -1, 1
405, 7, -1
406, 7, -1
407, -5, 1
408, -5, 1
409, 5, -1
410, -1, 1
411, 7, -1
412, -15, 1
413, -7, 1
414, 7, -1
415, -9, 1
416, 25, -1
417, -9, 1
418, -1, 1
419, -3, 1
420, 21, -1
421, -7, 1
422, 25, -1
423, 7, -1
424, 9, -1
425, 3, -1
426, -1, 1
427, 27, -1
428, 11, -1
429, -7, 1
430, -1, 1
431, 19, -1
432, 5, -1
433, -15, 1
434, 3, -1
435, 9, -1
436, 23, -1
437, -5, 1
438, -5, 1
439, -5, 1
440, 3, -1
441, 3, -1
442, 9, -1
443, -25, 1
444, -5, 1
445, -9, 1
446, -15, 1
447, -9, 1
448, 5, -1
449, -9, 1
450, -5, 1
451, 41, -1
452, 23, -1
453, 23, -1
454, -29, 1
455, 5, -1
456, -15, 1
457, -1, 1
458, -11, 1
