64, 167
65, 207
66, -33
67, -193
68, 191
69, 221
70, 257
71, -15
72, 37
73, -649
74, -227
75, 167
76, -39
77, 189
78, 225
79, 227
80, -35
81, -23
82, -247
83, 341
84, -21
85, -17
86, -21
87, -29
88, 179
89, 189
90, 219
91, 327
92, 109
93, 1
94, -15
95, -41
96, -61
97, -55
98, -67
99, 87
100, -125
101, -217
102, 189
103, 143
104, 1
105, 125
106, 21
107, 113
108, -29
109, -21
110, 81
111, -21
112, -139
113, -23
114, -155
115, 127
116, 5
117, -653
118, -87
119, -93
120, 369
121, -59
122, -53
123, -41
124, 99
125, 17
126, -819
127, -121
128, 109
129, 137
130, -65
131, -5
132, 107
133, 7
134, -55
135, -37
136, 107
137, 159
138, -167
139, 187
140, 175
141, 213
142, 293
143, 307
144, 85
145, -449
146, 17
147, -21
148, -81
149, 21
150, -201
151, -3
152, 33
153, 137
154, -143
155, 125
156, 17
157, -13
158, 117
159, -33
160, -177
161, -813
162, 49
163, -181
164, 375
165, -281
166, 199
167, 177
168, -17
169, -309
170, -779
171, 29
172, -17
173, -9
174, 181
175, -255
176, 3
177, -21
178, 211
179, 233
180, -211
181, 21
182, 197
183, -221
184, -41
185, -7
186, 179
187, -83
188, -201
189, -387
190, 225
191, 211
192, 45
193, -39
194, 9
195, 65
196, 203
197, 3
198, 229
199, -245
200, -289
201, -41
202, 255
203, -435
204, 11
205, -789
206, -367
207, -13
208, -201
209, -61
210, 203
211, 209
212, 391
213, 65
214, -769
215, -417
216, -39
217, -29
218, 263
219, 19
220, -1
221, -19
222, 193
223, -47
224, -233
225, -183
226, 177
227, 267
228, -37
229, -29
230, -99
231, 55
232, 33
233, 309
234, 193
235, 205
236, -15
237, -45
238, -171
239, 101
240, -45
241, -39
242, 223
243, 271
244, 17
245, -29
246, 195
247, 251
248, -321
249, -761
250, 41
251, 287
252, -173
253, -51
254, -13
255, 213
256, -1
257, -215
258, -751
259, -5
260, 193
261, -41
262, 165
263, 299
264, -3
265, -23
266, -43
267, 153
268, -215
269, 25
270, 143
271, 189
272, 201
273, 211
274, 25
275, -369
276, -63
277, -101
278, -55
279, -55
280, -21
281, -25
282, 29
283, -25
284, 97
285, 127
286, 119
287, 7
288, -101
289, -187
290, -19
291, -19
292, 69
293, -729
294, -113
295, -19
296, 235
297, 135
298, 155
299, 201
300, 181
301, 43
302, -643
303, -229
304, -53
305, 3
306, 171
307, 27
308, 213
309, -61
310, 207
311, 195
312, 5
313, -249
314, -25
315, -267
316, -33
317, -29
318, -409
319, 13
320, -59
321, 163
322, 125
323, 167
324, -223
325, 205
326, -313
327, -217
328, 67
329, -17
330, -3
331, 37
332, -161
333, -173
334, 193
335, 217
336, 57
337, 131
338, -295
339, 339
340, -143
341, -69
342, -19
343, 241
344, -43
345, 7
346, -685
347, -193
348, 225
349, -31
350, -9
351, 7
352, -5
353, 151
354, -45
355, -37
356, 149
357, -203
358, 151
359, 171
360, 221
361, 259
362, -659
363, 19
364, 271
365, -57
366, -15
367, -39
368, -33
369, -55
370, -127
371, 21
372, 17
373, 149
374, 27
375, -21
376, -163
377, 173
378, -243
379, -67
380, 9
381, -219
382, -115
383, 121
384, 199
385, 221
386, 281
387, 449
388, -39
389, 7
390, -665
391, -41
392, -29
393, -33
394, -37
395, -191
396, 3
397, 153
398, 177
399, -15
400, -203
401, 21
402, 165
403, 205
404, -27
405, 189
406, -639
407, -279
408, 225
409, -49
410, -5
411, 203
412, -43
413, -67
414, 53
415, 13
416, -221
417, -49
418, -31
419, 13
420, 7
421, -135
422, 175
423, 171
424, -213
425, -289
426, 45
427, -51
428, 167
429, -49
430, 163
431, 177
432, 159
433, -281
434, -445
435, -27
436, 183
437, -45
438, 183
439, 3
440, -41
441, -37
442, -39
443, 129
444, 157
445, -219
446, -17
447, 151
448, 183
449, 19
450, -587
451, -207
452, -75
453, 211
454, 205
455, -71
456, -221
457, 165
458, 21
459, 21
460, -281
461, 245
462, 361
463, -63
464, -33
465, 237
466, 1
467, -35
468, 249
469, -249
470, 35
471, -221
472, -59
473, 173
474, -45
475, 167
476, -61
477, -191
478, -463
479, 179
480, -21
481, 209
482, -27
483, 11
484, -37
485, 131
486, 157
487, -31
488, 167
489, -197
490, -7
491, 173
492, -75
493, 5
494, -615
495, -199
496, 141
497, 255
498, -25
499, 187
500, -185
501, -61
502, 49
503, -725
504, -185
505, -39
506, -23
507, 139
508, 15
509, -9
510, 135
511, 167
512, 121
513, 17
514, -231
515, -49
516, 253
517, -61
518, 235
519, -87
520, -77
521, 19
522, -185
523, -27
524, 123
525, -73
526, 63
527, -103
528, 199
529, 149
530, -35
531, -35
532, 157
533, 25
534, -37
535, 151
536, 165
537, -185
538, -731
539, 17
540, -75
541, 143
542, 189
543, -49
544, -195
545, 153
546, -211
547, -725
548, 59
549, 175
550, -9
551, 195
552, -207
553, -51
554, 191
555, -31
556, -75
557, 57
558, 17
559, -55
560, 181
561, 179
562, -15
563, -407
564, -171
565, 57
566, -153
567, 115
568, -39
569, -57
570, 59
571, -83
572, 215
573, 159
574, 191
575, -29
576, 219
577, 41
578, -9
579, 195
580, -43
581, -189
582, -721
583, 41
584, -63
585, 85
586, 161
587, -29
588, -91
589, 133
590, -201
591, -733
592, 33
593, -37
594, -45
595, 149
596, -171
597, -47
598, 163
599, 211
600, -71
601, 23
602, 27
603, -35
604, 145
605, -29
606, 167
607, -391
608, -173
609, 141
610, 215
611, -21
612, 189
613, -15
614, 185
615, 43
616, -307
617, -85
618, -3
619, -19
620, 149
621, -141
622, -31
623, 151
624, 161
625, 51
626, -723
627, -157
628, 151
629, 169
630, -79
631, 243
632, -59
633, -75
634, 7
635, -633
636, -187
637, 171
638, -23
639, 183
640, 39
641, -53
642, 165
643, -41
644, -61
645, 149
646, -191
647, 165
648, -53
649, 153
650, -45
651, -145
652, 61
653, 91
654, 333
655, 207
656, -39
657, 197
658, -57
659, -203
660, 69
661, 5
662, 197
663, 273
664, -9
665, -289
666, 341
667, -21
668, -55
669, -3
670, -185
671, 261
672, -55
673, 143
674, 203
675, -17
676, -59
677, 143
678, 17
679, -627
680, -191
681, -35
682, -31
683, 161
684, 13
685, -33
686, -31
687, 155
688, 169
689, 169
