0.003996, 2, 0.84016, 100, 1001, 35.8553, 2, 0.408715, 0.031968
0.00799201, 3, 0.683317, 100, 1001, 32.2671, 2, 0.429199, 0.0739261
0.015984, 4, 0.622378, 100, 1001, 17.9191, 2, 0.44721, 0.107892
0.031968, 5, 0.669331, 100, 1001, 9.28157, 2, 0.461617, 0.34965
0.0639361, 6, 0.651349, 100, 1001, 6.17354, 2, 0.468867, 0.401598
0.127872, 7, 0.609391, 100, 1001, 2.67397, 2, 0.478882, 0.375624
0.255744, 8, 0.595405, 100, 1001, 0.76262, 2, 0.488822, 0.20979
0.511489, 9, 0.574426, 100, 1001, 0.277232, 2.004, 0.493532, 0.187812
1.02298, 10, 0.569431, 100, 1001, 0.411403, 2.01299, 0.492096, 0.207792
2.04595, 11, 0.566434, 100, 1001, 0.576925, 2.02797, 0.490627, 0.225774
4.09191, 12, 0.562438, 100, 1001, 0.73683, 2.005, 0.48927, 0.227772
8.18382, 13, 0.585415, 100, 1001, 0.871187, 2.004, 0.488318, 0.23976
16.3676, 14, 0.588412, 100, 1001, 0.940463, 2.001, 0.487821, 0.251748
32.7353, 15, 0.589411, 100, 1001, 0.95159, 2, 0.48773, 0.247752
65.4705, 16, 0.654346, 100, 1001, 0.972272, 2, 0.487586, 0.243756
130.941, 17, 0.592408, 100, 1001, 0.983295, 2.001, 0.487518, 0.251748
